id,name,title,is_virtual_fg,description,parents,includes,path
3103096,ant1,anton test,0,5343434,,,/3103096
type.13,base,Base type for all types,1,,,,/type.13
type.67,base_user_type,Base type for all user types,1,Type from which all visible user types are inherited,type.13,,/type.13/type.67
type.16,process,Process details,1,,type.67,,/type.13/type.67/type.16
3114126,test-svc-archiver,File processing service,0,,type.16,,/type.13/type.67/type.16/3114126
type.331,svc-computations-base,computations,1,Base type for all computations,type.16,,/type.13/type.67/type.16/type.331
3147025,svc-dna-demo-gazan,HIVE Environment Test,0,Performs basic qc on a sequence file,type.331,,/type.13/type.67/type.16/type.331/3147025
3151320,svc-codon-usage,Codon Usage,0,Codon Usage,type.331,,/type.13/type.67/type.16/type.331/3151320
3151532,svc-gut-feeling,Gut Feeling,0,,type.331,,/type.13/type.67/type.16/type.331/3151532
type.1,type,object type,0,Object type,,,/type.1
type.19,u-file,User File,0,,"type.67,type.230",,/type.13/type.67/type.19
type.22,viodb,Generic VioDB,0,,type.19,,/type.13/type.67/type.19/type.22
type.3,u-hiveseq,HIVESeq,1,,type.22,,/type.13/type.67/type.19/type.22/type.3
type.84,base_system_type,Base type for all system objects,1,Type from which all system level types are inherited,type.13,,/type.13/type.84
type.7,view,Object type view,0,,type.84,,/type.13/type.84/type.7
type.8,action,Object type action,0,,type.84,,/type.13/type.84/type.8
type.9,menuitem,web page menu item,0,,type.84,,/type.13/type.84/type.9
type.10,webpage,Web Page,0,Web application entries,type.84,,/type.13/type.84/type.10
type.11,user,user account,0,,type.84,,/type.13/type.84/type.11
type.12,group,user group details,0,,type.84,,/type.13/type.84/type.12
type.13,base,Base type for all types,1,,,,/type.13
type.14,email,Email Message,0,,type.67,,/type.13/type.67/type.14
type.15,notification,message,0,,type.67,,/type.13/type.67/type.15
type.16,process,Process details,1,,type.67,,/type.13/type.67/type.16
type.29,svc-dna,DNA Services,0,Services Associates with Sequences and Alignments,type.331,,/type.13/type.67/type.16/type.331/type.29
type.25,svc-align,Sequence Alignment Engines,0,Sequence Alignment Engines General Service,type.29,,/type.13/type.67/type.16/type.331/type.29/type.25
type.347,svc-align-pairwise,Pairwise Alignment Engines,0,Pairwise Alignment Engines General Service,"type.350,type.25",,/type.13/type.67/type.16/type.331/type.29/type.25/type.347
type.90,svc-align-dnaseq,DNA-seq Alignments,0,DNA-seq alignmnent,type.347,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90
type.17,svc-align-hexagon,HIVE-Hexagon,0,HIVE hexagon alignment engine optimized for HIVE cloud performance on Next Generation data,"type.90,type.349",,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.17
type.330,svc-data-loading-base,data loading,1,Base type for data loading backends,type.16,,/type.13/type.67/type.16/type.330
type.18,svc-download,Download service,0,,type.330,,/type.13/type.67/type.16/type.330/type.18
type.19,u-file,User File,0,,"type.67,type.230",,/type.13/type.67/type.19
type.22,viodb,Generic VioDB,0,,type.19,,/type.13/type.67/type.19/type.22
type.23,cder-virology-review-project,Virology Review Project,0,CDER Virology Review Project,type.67,,/type.13/type.67/type.23
type.24,svc-dmSnvDis,nsSNVs Distribution Analysis,0,"SNVDis returns the distribution of nsSNVs across the human proteome or in a set of human proteins uploaded by the user. Follow-up analysis can be performed to ascertain how these nsSNVs are distributed in the functional sites of proteins (active site, binding site, N-linked glycosylation site, etc.), domains and pathways",type.331,,/type.13/type.67/type.16/type.331/type.24
type.25,svc-align,Sequence Alignment Engines,0,Sequence Alignment Engines General Service,type.29,,/type.13/type.67/type.16/type.331/type.29/type.25
type.26,svc-align-blast,Blast Alignment,0,Blast alignment engine optimized for HIVE performance,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.26
type.27,svc-profiler,Sequence Profiling Engine,0,"Engine to perform coverage analysis ,base-calling, SNP calling ",type.29,,/type.13/type.67/type.16/type.331/type.29/type.27
type.28,svc-align-bowtie,BowTie Alignment,0,BowTie alignment engine optimized for HIVE ,type.90,,/type.13/type.67/type.16/type.331/type.29/type.25/type.347/type.90/type.28
type.29,svc-dna,DNA Services,0,Services Associates with Sequences and Alignments,type.331,,/type.13/type.67/type.16/type.331/type.29
type.30,jing-test,Jing Test,0,Record editing test type,type.13,type.119,/type.13/type.30
